,post_vs_pre_in_asthma,asthma_vs_healthy_at_post,asthma_vs_healthy_at_pre,post_vs_pre_in_healthy,err,warn
hsa-miR-15b-5p,0.249795616,0.327702639,1,0.502501578,No error,No warn
hsa-miR-16-2-3p,4.06E-12,0.030997709,0.860608512,3.06E-17,No error,gss warnin
hsa-miR-16-5p,0.111615851,0.4625745,0.506041603,0.059338253,No error,No warn
hsa-miR-17-5p,0.852513332,0.840953081,0.588105495,0.581450407,No error,No warn
hsa-miR-181a-2-3p,6.43E-09,0.075449361,0.827394249,0.399543968,No error,No warn
hsa-miR-181a-3p,0.173421032,0.071462375,0.306492038,1,No error,No warn
hsa-miR-181a-5p,1.91E-05,1,1,1,No error,gss warnin
hsa-miR-181b-5p,0.534186495,0.474452264,0.633761234,1,No error,No warn
hsa-miR-181d-5p,0.113855017,0.483108358,0.141193252,0.035902691,No error,No warn
hsa-miR-182-5p,0.011025776,0.015828757,0.817064064,0.473680741,No error,No warn
hsa-miR-183-5p,0.11745482,1,1,0.044007131,No error,No warn
hsa-miR-1843,0.12877616,0.201562932,0.649024758,0.300531069,No error,No warn
hsa-miR-185-3p,0.794892452,0.180745763,1,1,No error,No warn
hsa-miR-185-5p,2.26E-14,0.073137094,1,6.88E-13,No error,No warn
hsa-miR-186-5p,7.17E-09,0.661248404,0.883226495,1.38E-09,No error,gss warnin
hsa-miR-18a-3p,0.049744121,0.101928748,0.220872438,0.104271613,No error,No warn
hsa-miR-18a-5p,0.130234999,0.562484884,1,0.002715333,No error,gss warnin
hsa-miR-1908-5p,0.000218452,0.688709969,0.726855866,4.10E-05,No error,No warn
hsa-miR-191-3p,0.918369929,0.180830464,0.163765465,1,No error,No warn
hsa-miR-191-5p,1,0.634190928,0.746934641,1,No error,No warn
hsa-miR-192-5p,0.692280654,0.689305453,0.708341387,0.031169874,No error,No warn
hsa-miR-193a-5p,0.029147848,0.253110568,0.565254302,0.059230952,No error,No warn
hsa-miR-194-5p,0.027659153,0.050794528,0.695091871,0.406500879,No error,No warn
hsa-miR-195-3p,0.093735233,0.124737142,1,1,No error,No warn
hsa-miR-196b-5p,0.207759643,0.023345803,0.128890858,1,No error,No warn
hsa-miR-197-3p,0.021084407,0.016585459,0.283347344,1,No error,No warn
hsa-miR-199a-3p,3.73E-08,1.25E-06,1,0.041073632,No error,No warn
hsa-miR-199a-5p,5.10E-07,0.105362847,0.847761947,4.45E-06,No error,No warn
hsa-miR-199b-3p,0.00035806,0.002815533,1,0.220060348,No error,No warn
hsa-miR-199b-5p,0.266122158,0.88978049,0.265140087,0.093291781,No error,No warn
hsa-miR-19a-3p,9.53E-09,0.033884998,0.709408685,2.71E-06,No error,No warn
hsa-miR-19b-3p,0.217453939,0.926205023,0.403171529,0.077242355,No error,No warn
hsa-miR-200a-3p,0.427545652,0.327316503,0.310591401,0.567941563,No error,No warn
hsa-miR-200b-3p,0.382738521,0.349556864,0.239659759,0.149723652,No error,No warn
hsa-miR-200c-3p,0.040499806,0.007869845,0.017177239,0.203393173,No error,No warn
hsa-miR-203a-3p,0.133722547,0.192842512,1,0.652615953,No error,No warn
hsa-miR-20a-5p,7.92E-05,0.000228566,0.627186421,0.283796811,No error,No warn
hsa-miR-20b-5p,0.320147003,0.242227902,1,0.259734798,No error,No warn
hsa-miR-21-5p,2.76E-79,1.21E-47,1,1.18E-25,No error,No warn
hsa-miR-2110,0.026697733,0.181776273,0.227508219,0.016609732,No error,No warn
hsa-miR-215-5p,1,0.000152963,0.607728623,1,No error,gss warnin
hsa-miR-22-3p,5.14E-10,1.08E-11,1,3.98E-14,No error,No warn
hsa-miR-22-5p,0.841244803,0.621415071,0.365596626,0.526154182,No error,No warn
hsa-miR-221-3p,0.000249883,0.000209,0.089523115,0.093103338,No error,No warn
hsa-miR-221-5p,1.78E-05,5.94E-06,0.134405679,0.588690729,No error,No warn
hsa-miR-222-3p,1.51E-07,0.002512646,1,3.74E-06,No error,gss warnin
hsa-miR-223-3p,0.086960293,0.061996261,0.550656263,1,No error,No warn
hsa-miR-223-5p,1.24E-10,3.17E-10,1,0.011903851,No error,No warn
hsa-miR-224-5p,0.015244761,0.136692579,0.644979297,0.025851063,No error,No warn
hsa-miR-23a-3p,0.073117906,0.172807582,0.409031384,0.106598328,No error,No warn
hsa-miR-23b-3p,0.923110735,0.415712275,0.17157338,0.651921269,No error,No warn
hsa-miR-24-2-5p,0.255517817,0.588597086,0.351349224,0.107975245,No error,No warn
hsa-miR-24-3p,0.06440848,0.135981563,0.469478201,0.442607785,No error,No warn
hsa-miR-25-3p,0.000612042,0.000749775,1,0.266452947,No error,No warn
hsa-miR-26a-5p,1.88E-150,2.51E-106,0.484643857,4.03E-31,No error,No warn
hsa-miR-26b-5p,0.000121692,0.00128769,0.677017368,0.079302255,No error,No warn
hsa-miR-27a-3p,5.83E-05,0.893103184,1,1.01E-05,No error,gss warnin
hsa-miR-27a-5p,1,0.686504693,0.38245742,1,No error,No warn
hsa-miR-27b-3p,0.51837824,0.569451219,0.186303573,1,No error,No warn
hsa-miR-28-3p,7.23E-07,0.595656881,0.511130533,2.65E-07,No error,No warn
hsa-miR-28-5p,0.581477839,0.801296947,0.464469008,0.316841711,No error,No warn
hsa-miR-29a-3p,0.012905152,0.016478016,0.544665216,0.575423938,No error,No warn
hsa-miR-301a-5p,0.44873422,0.320400806,0.475584589,0.60391817,No error,No warn
hsa-miR-30a-3p,0.075389111,0.501295559,0.268764418,0.021546924,No error,No warn
hsa-miR-30a-5p,0.000128632,0.054784078,0.777629789,0.000224859,No error,No warn
hsa-miR-30b-5p,0.001509388,0.007703396,0.551656593,0.024200749,No error,No warn
hsa-miR-30c-5p,1.41E-26,4.91E-24,1,0.021590786,No error,No warn
hsa-miR-30d-5p,0.145134141,0.12442825,0.958425899,0.230762284,No error,No warn
hsa-miR-30e-3p,1,0.780019993,0.398208989,1,No error,gss warnin
hsa-miR-30e-5p,1,0.561974323,0.475730942,1,No error,No warn
hsa-miR-3120-3p,1,0.021558972,0.037740263,1,No error,No warn
hsa-miR-3158-3p,0.001260987,0.640970935,1,0.000928718,No error,No warn
hsa-miR-32-5p,2.22E-15,0.915084691,1,2.06E-16,No error,No warn
hsa-miR-320a-3p,2.23E-10,0.93162229,0.688097415,5.86E-11,No error,No warn
hsa-miR-320b,0.000398584,1,0.372647468,6.16E-06,No error,No warn
hsa-miR-320c,0.027607203,0.147348114,0.0169269,0.025583974,No error,gss warnin
hsa-miR-320d,4.49E-06,0.005401391,0.54875826,8.20E-05,No error,No warn
hsa-miR-323a-3p,0.011266161,0.010233307,0.763009462,1,No error,No warn
hsa-miR-326,0.680145615,0.54059778,0.584363895,0.713548687,No error,No warn
hsa-miR-328-3p,0.018441909,0.008892107,0.555454419,1,No error,No warn
hsa-miR-329-3p,0.799316563,0.699179542,0.585347096,0.801920385,No error,No warn
hsa-miR-330-3p,7.35E-09,1,1,1.13E-06,No error,No warn
hsa-miR-330-5p,0.683518097,0.203046937,0.435858626,1,No error,No warn
hsa-miR-331-5p,0.177540212,0.395136189,0.596417147,0.097454713,No error,No warn
hsa-miR-335-3p,0.02567838,0.224592522,0.655739801,0.029392481,No error,No warn
hsa-miR-335-5p,0.50405929,0.465919834,0.287343151,0.314395373,No error,No warn
hsa-miR-338-5p,0.39222765,0.196483834,0.255832291,0.477010851,No error,No warn
hsa-miR-339-3p,1,0.844015756,0.471073492,1,No error,No warn
hsa-miR-339-5p,0.127230133,1,1,0.052660176,No error,No warn
hsa-miR-340-3p,0.01310265,0.701659707,0.506520535,0.003650954,No error,No warn
hsa-miR-340-5p,0.000138887,0.483399063,0.376853666,2.72E-05,No error,No warn
hsa-miR-342-3p,1,0.62142753,0.301967198,1,No error,No warn
hsa-miR-342-5p,0.00975085,0.4903066,1,0.004229373,No error,No warn
hsa-miR-345-5p,0.134784118,0.108678336,0.318012007,0.252941475,No error,No warn
hsa-miR-3605-3p,1,1,0.810915504,1,No error,No warn
hsa-miR-361-3p,3.81E-05,0.001264368,0.465150424,0.011014717,No error,No warn
hsa-miR-361-5p,1,0.264523355,0.387001366,1,No error,No warn
hsa-miR-3613-5p,1,1,1,1,No error,gss warnin
hsa-miR-3615,0.002387551,0.814211476,0.574339723,0.000505963,No error,No warn
hsa-miR-363-3p,0.003104212,0.21479985,0.669844069,0.001609242,No error,gss warnin
hsa-miR-369-5p,1,0.233529329,0.439989253,1,No error,No warn
hsa-miR-370-3p,0.834977626,0.824664707,0.762269133,0.807937781,No error,No warn
hsa-miR-374a-3p,0.000322263,0.000918659,1,0.148833504,No error,No warn
hsa-miR-374a-5p,0.043437624,0.032448394,0.299258211,0.540493588,No error,No warn
hsa-miR-374b-5p,0.002023546,0.580231123,0.304071431,0.000527882,No error,No warn
hsa-miR-375-3p,4.58E-13,7.85E-13,1,0.003532556,No error,No warn
hsa-miR-378a-3p,3.33E-06,0.000629585,0.641771419,0.004630965,No error,No warn
hsa-miR-378c,0.051005476,0.261431551,0.14960992,0.0324693,No error,No warn
hsa-miR-378d,1,1,0.370047038,1,No error,No warn
hsa-miR-378i,0.006409191,0.348310017,0.242447274,0.001636669,No error,No warn
hsa-miR-379-5p,0.000280221,0.032841288,0.728074029,0.000264556,No error,No warn
hsa-miR-381-3p,0.001637702,0.003057168,0.795054211,0.418342571,No error,No warn
hsa-miR-382-5p,0.05364494,0.330697949,0.764636981,0.028973982,No error,No warn
hsa-miR-3913-5p,0.060256253,0.027330353,0.395156507,0.699304817,No error,No warn
hsa-miR-409-3p,0.004615217,0.049669014,0.868039959,0.014859963,No error,No warn
hsa-miR-411-3p,0.167509168,0.042531755,0.009362747,0.074583544,No error,No warn
hsa-miR-411-5p,1,0.881645772,0.569247295,1,No error,No warn
hsa-miR-421,1,0.062248186,0.148676257,1,No error,No warn
hsa-miR-423-3p,0.000228291,0.005755427,0.809487366,0.005729741,No error,No warn
hsa-miR-423-5p,1.86E-13,4.85E-06,0.016832527,3.14E-07,No error,No warn
hsa-miR-424-3p,1,0.666246731,0.420018367,1,No error,No warn
hsa-miR-425-3p,0.000138503,0.000182005,1,0.556592697,No error,No warn
hsa-miR-425-5p,0.007215473,0.200962468,1,0.015826311,No error,gss warnin
hsa-miR-431-5p,0.945124619,0.84368621,0.527934727,1,No error,No warn
hsa-miR-432-5p,5.08E-06,0.000501425,0.863733861,0.00056821,No error,No warn
hsa-miR-4326,8.52E-36,0.090338909,1,8.43E-37,No error,No warn
hsa-miR-433-3p,0.049991679,0.195496212,0.283388904,0.19573292,No error,No warn
hsa-miR-4433b-3p,0.000124494,0.000113274,0.780615631,1,No error,No warn
hsa-miR-4433b-5p,0.224070853,0.39488189,0.663552747,0.240062153,No error,No warn
hsa-miR-4446-3p,0.483241962,0.493173028,0.35312485,0.290821791,No error,No warn
hsa-miR-4508,0.000641872,0.21567531,0.55809794,0.000686782,No error,No warn
hsa-miR-450a-5p,4.12E-05,1,1,7.26E-06,No error,No warn
hsa-miR-450b-5p,0.033861981,0.036320702,0.446766762,0.14532221,No error,No warn
hsa-miR-451a,1.42E-103,4.31E-15,0.341304731,3.65E-99,No error,No warn
hsa-miR-454-5p,1,1,1,0.854277312,No error,gss warnin
hsa-miR-4732-3p,0.085760574,0.505346933,0.48127529,0.039377951,No error,No warn
hsa-miR-4732-5p,0.171174527,0.652441702,1,0.197044253,No error,No warn
hsa-miR-4746-5p,0.509689208,0.169585239,0.142778417,1,No error,No warn
hsa-miR-484,0.010786425,0.04663098,0.338890298,0.047957208,No error,No warn
hsa-miR-485-3p,0.196527681,0.839767192,1,0.099627406,No error,No warn
